Registration Number,Operator,Airframe Report Date,Airframe Hours,Airframe Landings,ATA and Code,Tracked By Equipment,Equipment Hours,Equipment Cycles,Equipment Landings,Equipment RIN,Item Type,Requirement Type,Disposition,Group,Description,Reference,Part Number,Serial Number,Work Order,Scheduled,Estimated Work Hours,Notes,Compliance Date,Compliance Hours,Compliance Landings,Compliance Cycles,Compliance RIN,Interval Days,Interval Months,Interval Hours,Interval Landings,Interval Cycles,Interval RIN,Tolerance Months,Tolerance Days,Tolerance Hours,Tolerance Landings,Tolerance Cycles,Tolerance RIN,Next Due Date,Max Next Due Date,Next Due Hours,Max Next Due Hours,Next Due Landings,Max Next Due Landings,Next Due Cycles,Max Next Due Cycles,Next Due RIN,Max Next Due RIN,Remaining Days,Max Remaining Days,Remaining Months,Max Remaining Months,Remaining Hours,Max Remaining Hours ,Remaining Landings,Max Remaining Landings,Remaining Cycles,Max Remaining Cycles,Remaining RIN,Max Remaining RIN,Is Optional,Next Due Status,Aircraft Grounded,Estimated Due Date,Months Since New,Months Since Overhaul,Months Since Repair,Hours Since New,Hours Since Overhaul,Hours Since Repair,Landings Since New,Landings Since Overhaul,Landings Since Repair,Tags,SalesForce Case Number
N581HC,IHC Health Services,12/09/2025,6755.90,6977,,Airframe,6755.90,,6977,,DISCREPANCY,,,,"Found extra play between LH MLG trailing link and trunnion assembly, found damage on trunnion assembly and trailing link assembly upon disassembling.",,,,000025,"Thursday, January 1, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,09/11/2025,,,,,,,,,,,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,35 GMM CH 5-7.6,Airframe,6755.90,,6977,,INSPECTION,,,,INSTALLED PORTABLE OXYGEN BOTTLES  7 DAY VERIFICATION OF HYDROSTATIC DATE,GMM,,,000025,"Thursday, January 1, 2026",,"C/W IAW IHC GOM Pg 32.70.01, 2.0 Procedure, Effective 22-01
Bottles checked with stamp 8/22.",09/05/2025,6736.60,6959,,,7,0,,0,0.00,0.00,0,1,,0,0.00,0.00,09/12/2025,,,,,,,,,,-14,,-8,,,,,,,,,,No,Past Due,,09/12/2025,,,,,,,,,,PILOT GOM,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,34 1000,Airframe,6755.90,,6977,,INSPECTION,,,,JEPPVIEW DATA DISK UPDATE,,,,000025,"Thursday, January 1, 2026",,Updated JeppVeiw Database. All Work Completed IAW Manufactures Instructions.,09/02/2025,6736.60,6959,,,0,0,,0,0.00,0.00,,,,,,,09/17/2025,,,,,,,,,,-9,,-8,,,,,,,,,,No,Past Due,,09/17/2025,,,,,,,,,,,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,26 22-00-2100,Airframe,6755.90,,6977,,INSPECTION,,,,CABIN PORTABLE FIRE EXTINGUISHER - MONTHLY INSPECTION,,,,000025,"Thursday, January 1, 2026",,"C/W IAW IHC GOM Pg 32.70.01, 2.0 Procedure, Effective 22-01 (IAW THE REQUIREMENTS GIVEN IN FQA-0145)",08/20/2025,6708.00,6926,,,0,1,,0,0.00,0.00,,,,,,,09/30/2025,,,,,,,,,,-26,,-7,,,,,,,,,,No,Past Due,,09/30/2025,,,,,,,,,,,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,26 22-00-2101,Airframe,6755.90,,6977,,INSPECTION,,,,COCKPIT PORTABLE FIRE EXTINGUISHER - MONTHLY INSPECTION,,,,000025,"Thursday, January 1, 2026",,"C/W IAW IHC GOM Pg 32.70.01, 2.0 Procedure, Effective 22-01 (IAW THE REQUIREMENTS GIVEN IN FQA-0145)",08/20/2025,6708.00,6926,,,0,1,,0,0.00,0.00,,,,,,,09/30/2025,,,,,,,,,,-26,,-7,,,,,,,,,,No,Past Due,,09/30/2025,,,,,,,,,,,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,35 GMM CH 5-7.6.1,Airframe,6755.90,,6977,,INSPECTION,,,,MONTHLY PORTABLE OXYGEN BOTTLE EXCHANGE WITH VENDOR SERVICED UNIT,GMM,,,000025,"Thursday, January 1, 2026",,,08/20/2025,6708.00,6926,,,0,1,,0,0.00,0.00,0,0,,0,0.00,0.00,09/30/2025,,,,,,,,,,-26,,-7,,,,,,,,,,No,Past Due,,09/30/2025,,,,,,,,,,PILOT GOM,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,34 1001,Airframe,6755.90,,6977,,INSPECTION,,,,PROLINE 21 J7 AMERICA AND E-MAPS DATABASE UPDATE,,,,000025,"Thursday, January 1, 2026",,Updated Rockwell Collins FMS Databases. All Work Completed IAW Manufactures Instructions.,09/02/2025,6736.60,6959,,,0,0,,0,0.00,0.00,,,,,,,10/02/2025,,,,,,,,,,-24,,-7,,,,,,,,,,No,Past Due,,10/02/2025,,,,,,,,,,,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,34 GOM,Airframe,6755.90,,6977,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,,09/07/2025,6741.40,6966,,,30,0,,0,0.00,0.00,0,0,,0,0.00,0.00,10/07/2025,,,,,,,,,,-19,,-7,,,,,,,,,,No,Past Due,,10/07/2025,,,,,,,,,,PILOT GOM,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,25 STC SA11158SC.1,Airframe,6755.90,,6977,,INSPECTION,,,,GOGO ADVANCE L3 WIFI 12 MONTH EQUIPMENT AUDIT - IAW ICA DOC  # LP23-CA001,,,,000025,"Thursday, January 1, 2026",,,11/18/2024,6080.70,6224,,,0,12,,0,,,0,0,,0,,,11/18/2025,,,,,,,,,,-8,,-6,,,,,,,,,,No,Past Due,,11/18/2025,,,,,,,,,,ICA,
N581HC,IHC Health Services,12/09/2025,6755.90,6977,05 12-12,Airframe,6755.90,,6977,,INSPECTION,,,,NON-MSG-3 INSPECTION DOCUMENT 12 - LEAD ACID BATTERY FUNCTIONAL CHECK (CAPACITY CHECK),Rev 12.2 04 18 2023,,,000025,"Thursday, January 1, 2026",,,07/30/2025,6665.80,6878,,,0,4,200.00,0,0.00,0.00,2,,30.00,,,,11/30/2025,,6865.80,,,,,,,,-26,,-5,,109.90,,,,,,,,No,Past Due,,11/30/2025,,,,,,,,,,,
